iter	Passed	Remaining
247	12268	136145
248	12314	136047
249	12362	135982
250	12409	135911
251	12458	135854
252	12503	135760
253	12555	135740
254	12605	135698
255	12651	135611
256	12697	135520
257	12745	135457
258	12793	135394
259	12844	135366
260	12899	135373
261	12950	135337
262	12996	135252
263	13047	135221
264	13101	135216
265	13150	135160
266	13197	135088
267	13246	135037
268	13296	134994
269	13350	134986
270	13395	134898
271	13445	134845
272	13491	134770
273	13545	134767
274	13594	134709
275	13645	134672
276	13690	134583
277	13737	134504
278	13783	134428
279	13830	134348
280	13877	134281
281	13925	134222
282	13973	134153
283	14021	134093
284	14070	134042
285	14115	133952
286	14164	133895
287	14212	133837
288	14265	133816
289	14318	133803
290	14364	133726
291	14413	133673
292	14459	133585
293	14506	133515
294	14553	133445
295	14602	133391
296	14648	133317
297	14694	133239
298	14743	133188
299	14794	133151
300	14843	133097
301	14888	133014
302	14939	132976
303	14988	132923
304	15050	132985
305	15096	132906
306	15143	132839
307	15194	132805
308	15243	132749
309	15291	132687
310	15338	132619
311	15391	132603
312	15446	132604
313	15493	132529
314	15540	132461
315	15591	132432
316	15639	132364
317	15688	132319
318	15739	132284
319	15786	132216
320	15835	132163
321	15883	132103
322	15931	132035
323	15985	132025
324	16033	131964
325	16084	131934
326	16134	131884
327	16187	131871
328	16236	131814
329	16281	131729
330	16334	131709
331	16384	131668
332	16429	131585
333	16475	131510
334	16526	131468
335	16577	131434
336	16627	131395
337	16673	131316
338	16721	131258
339	16768	131191
340	16819	131156
341	16873	131136
342	16920	131073
343	16972	131039
344	17018	130970
345	17066	130908
346	17113	130838
347	17169	130841
348	17222	130819
349	17267	130739
350	17313	130663
351	17362	130615
352	17412	130567
353	17461	130519
354	17517	130514
355	17568	130483
356	17614	130405
357	17659	130325
358	17707	130267
359	17753	130194
360	17802	130144
361	17854	130111
362	17900	130037
363	17950	129990
364	18000	129950
365	18055	129941
366	18105	129894
367	18151	129820
368	18202	129783
369	18250	129727
370	18300	129681
371	18350	129640
372	18412	129674
373	18461	129626
374	18511	129578
375	18557	129506
376	18604	129445
377	18655	129406
378	18706	129366
379	18759	129339
380	18808	129292
381	18858	129244
382	18910	129215
383	18962	129185
384	19009	129119
385	19061	129081
386	19111	129040
387	19166	129025
388	19215	128979
389	19266	128939
390	19317	128896
391	19361	128812
392	19414	128788
393	19461	128722
394	19507	128652
395	19559	128616
396	19611	128588
397	19666	128573
398	19715	128521
399	19762	128457
