DR801	023	2019-03-16
BB303	010	2019-03-07
BC012	207	2019-03-07
BD145	203	2019-03-07
BN605	270	2019-03-07
BS299	296	2019-03-07
HA011	653	2019-03-07
HL112	X35	2019-03-07
HL322	607	2019-03-07
DA015	332	2019-03-05
BC186	170	2019-03-15
HI010	612	2019-03-16
MT010	979	2019-03-16
GN604	662	2019-03-10
HA617	216	2019-03-03
HS014	392	2019-03-07
LA005	652	2019-03-07
JB300	720	2019-03-07
LC504	860	2019-03-13
HN604	209	2019-03-03
JA032	710	2019-03-03
JI004	789	2019-03-03
MN605	972	2019-03-03
JC860	762	2019-03-05
KA692	545	2019-03-06
MA855	918	2019-03-09
HA616	650	2019-03-04
BE707	203	2019-03-03
BN626	211	2019-03-03
BA131	236	2019-03-06
BB609	021	2019-03-06
BA022	924	2019-03-13
MR800	023	2019-03-12
BL316	256	2019-03-06
DR401	335	2019-03-06
EA192	338	2019-03-06
HD247	602	2019-03-06
LC017	860	2019-03-03
GS029	894	2019-03-08
BC032	370	2019-03-09
BB307	011	2019-03-08
BI858	176	2019-03-08
BS296	197	2019-03-08
BE719	203	2019-03-08
BL328	307	2019-03-08
GE714	500	2019-03-08
EL314	507	2019-03-08
EL302	508	2019-03-08
HD247	603	2019-03-08
BI857	188	2019-03-16
DA012	323	2019-03-16
BI851	285	2019-03-07
EA190	338	2019-03-07
EL068	506	2019-03-07
GA140	631	2019-03-07
BA134	231	2019-03-15
LC029	860	2019-03-16
BA602	216	2019-03-14
HA030	650	2019-03-03
BA139	924	2019-03-14
HR041	X20	2019-03-08
JI003	777	2019-03-03
HR036	502	2019-03-05
LC303	380	2019-03-06
LL029	304	2019-03-06
LC020	370	2019-03-09
LE707	303	2019-03-09
HA266	612	2019-03-04
BI851	175	2019-03-03
BA011	812	2019-03-06
BC030	373	2019-03-06
BA026	371	2019-03-12
BA120	225	2019-03-12
MR800	023	2019-03-11
JC855	823	2019-03-04
GA169	540	2019-03-10
EA180	523	2019-03-06
GE705	550	2019-03-06
HA024	650	2019-03-06
JB611	040	2019-03-06
HA260	608	2019-03-05
GI018	642	2019-03-16
BL331	022	2019-03-08
GD350	202	2019-03-08
BC022	374	2019-03-08
HA615	712	2019-03-08
BT009	979	2019-03-08
BB302	010	2019-03-16
BB611	020	2019-03-07
BC324	207	2019-03-07
DR407	216	2019-03-07
EL302	507	2019-03-07
HA022	653	2019-03-07
HA261	615	2019-03-07
HE706	550	2019-03-10
HI004	650	2019-03-10
BA039	236	2019-03-14
HS021	695	2019-03-08
JC013	778	2019-03-07
HR044	602	2019-03-03
HR410	650	2019-03-03
KA601	545	2019-03-05
BC597	170	2019-03-04
EA013	621	2019-03-04
GA199	548	2019-03-04
HL302	607	2019-03-04
HL317	607	2019-03-04
HN403	644	2019-03-04
EA177	531	2019-03-03
BC850	168	2019-03-10
BL317	023	2019-03-06
CL303	307	2019-03-06
DC297	462	2019-03-06
DR403	216	2019-03-06
GA176	642	2019-03-06
GE696	602	2019-03-06
GN601	662	2019-03-06
HA252	712	2019-03-06
LA006	828	2019-03-05
GA179	688	2019-03-03
BA019	812	2019-03-09
DC298	462	2019-03-09
GD346	603	2019-03-09
HA003	655	2019-03-09
HI859	668	2019-03-09
EL301	022	2019-03-08
CR804	023	2019-03-08
BN411	214	2019-03-08
GL303	507	2019-03-08
HR037	X11	2019-03-08
LB605	050	2019-03-15
BA009	812	2019-03-16
LC852	861	2019-03-15
DL310	304	2019-03-16
GL314	506	2019-03-16
BA136	225	2019-03-07
BC280	183	2019-03-07
